token_id,gene_id
319,ENSMUSG00000002015
320,ENSMUSG00000002017
321,ENSMUSG00000002020
322,ENSMUSG00000002028
323,ENSMUSG00000002031
324,ENSMUSG00000002032
325,ENSMUSG00000002033
326,ENSMUSG00000002043
327,ENSMUSG00000002052
328,ENSMUSG00000002055
329,ENSMUSG00000002057
330,ENSMUSG00000002058
331,ENSMUSG00000002059
332,ENSMUSG00000002064
333,ENSMUSG00000002068
334,ENSMUSG00000002076
335,ENSMUSG00000002083
336,ENSMUSG00000002100
337,ENSMUSG00000002102
338,ENSMUSG00000002103
339,ENSMUSG00000002104
340,ENSMUSG00000002105
341,ENSMUSG00000002107
342,ENSMUSG00000002108
343,ENSMUSG00000002109
344,ENSMUSG00000002111
345,ENSMUSG00000002129
346,ENSMUSG00000002147
347,ENSMUSG00000002190
348,ENSMUSG00000002204
349,ENSMUSG00000002205
350,ENSMUSG00000002210
351,ENSMUSG00000002221
352,ENSMUSG00000002222
353,ENSMUSG00000002227
354,ENSMUSG00000002228
355,ENSMUSG00000002233
356,ENSMUSG00000002249
357,ENSMUSG00000002250
358,ENSMUSG00000002257
359,ENSMUSG00000002265
360,ENSMUSG00000002274
361,ENSMUSG00000002279
362,ENSMUSG00000002280
363,ENSMUSG00000002289
364,ENSMUSG00000002297
365,ENSMUSG00000002307
366,ENSMUSG00000002308
367,ENSMUSG00000002319
368,ENSMUSG00000002320
369,ENSMUSG00000002324
370,ENSMUSG00000002325
371,ENSMUSG00000002326
372,ENSMUSG00000002332
373,ENSMUSG00000002341
374,ENSMUSG00000002342
375,ENSMUSG00000002343
376,ENSMUSG00000002345
377,ENSMUSG00000002346
378,ENSMUSG00000002365
379,ENSMUSG00000002372
380,ENSMUSG00000002379
381,ENSMUSG00000002393
382,ENSMUSG00000002395
383,ENSMUSG00000002409
384,ENSMUSG00000002413
385,ENSMUSG00000002416
386,ENSMUSG00000002428
387,ENSMUSG00000002455
388,ENSMUSG00000002458
389,ENSMUSG00000002459
390,ENSMUSG00000002475
391,ENSMUSG00000002477
392,ENSMUSG00000002489
393,ENSMUSG00000002496
394,ENSMUSG00000002500
395,ENSMUSG00000002524
396,ENSMUSG00000002550
397,ENSMUSG00000002565
398,ENSMUSG00000002578
399,ENSMUSG00000002580
400,ENSMUSG00000002588
401,ENSMUSG00000002602
402,ENSMUSG00000002603
403,ENSMUSG00000002608
404,ENSMUSG00000002625
405,ENSMUSG00000002633
406,ENSMUSG00000002635
407,ENSMUSG00000002658
408,ENSMUSG00000002660
409,ENSMUSG00000002661
410,ENSMUSG00000002664
411,ENSMUSG00000002668
412,ENSMUSG00000002679
413,ENSMUSG00000002688
414,ENSMUSG00000002699
415,ENSMUSG00000002718
416,ENSMUSG00000002728
417,ENSMUSG00000002731
418,ENSMUSG00000002732
419,ENSMUSG00000002733
420,ENSMUSG00000002741
421,ENSMUSG00000002748
422,ENSMUSG00000002763
423,ENSMUSG00000002767
424,ENSMUSG00000002768
425,ENSMUSG00000002769
426,ENSMUSG00000002771
427,ENSMUSG00000002778
428,ENSMUSG00000002781
429,ENSMUSG00000002797
430,ENSMUSG00000002799
431,ENSMUSG00000002803
432,ENSMUSG00000002804
433,ENSMUSG00000002808
434,ENSMUSG00000002812
435,ENSMUSG00000002814
436,ENSMUSG00000002820
437,ENSMUSG00000002825
438,ENSMUSG00000002831
439,ENSMUSG00000002833
440,ENSMUSG00000002835
441,ENSMUSG00000002844
442,ENSMUSG00000002845
443,ENSMUSG00000002846
444,ENSMUSG00000002847
445,ENSMUSG00000002870
446,ENSMUSG00000002871
447,ENSMUSG00000002881
448,ENSMUSG00000002885
449,ENSMUSG00000002897
450,ENSMUSG00000002900
451,ENSMUSG00000002908
452,ENSMUSG00000002910
453,ENSMUSG00000002930
454,ENSMUSG00000002944
455,ENSMUSG00000002948
456,ENSMUSG00000002949
457,ENSMUSG00000002957
458,ENSMUSG00000002963
459,ENSMUSG00000002968
460,ENSMUSG00000002980
461,ENSMUSG00000002981
462,ENSMUSG00000002983
463,ENSMUSG00000002984
464,ENSMUSG00000002985
465,ENSMUSG00000002992
466,ENSMUSG00000002996
467,ENSMUSG00000002997
468,ENSMUSG00000003031
469,ENSMUSG00000003032
470,ENSMUSG00000003033
471,ENSMUSG00000003037
472,ENSMUSG00000003039
473,ENSMUSG00000003051
474,ENSMUSG00000003062
475,ENSMUSG00000003068
476,ENSMUSG00000003070
477,ENSMUSG00000003099
478,ENSMUSG00000003119
479,ENSMUSG00000003123
480,ENSMUSG00000003131
481,ENSMUSG00000003134
482,ENSMUSG00000003135
483,ENSMUSG00000003154
484,ENSMUSG00000003161
485,ENSMUSG00000003166
486,ENSMUSG00000003184
487,ENSMUSG00000003190
488,ENSMUSG00000003199
489,ENSMUSG00000003200
490,ENSMUSG00000003206
491,ENSMUSG00000003208
492,ENSMUSG00000003226
493,ENSMUSG00000003227
494,ENSMUSG00000003228
495,ENSMUSG00000003233
496,ENSMUSG00000003234
497,ENSMUSG00000003235
498,ENSMUSG00000003269
499,ENSMUSG00000003271
500,ENSMUSG00000003273
501,ENSMUSG00000003279
502,ENSMUSG00000003282
503,ENSMUSG00000003283
504,ENSMUSG00000003299
505,ENSMUSG00000003308
506,ENSMUSG00000003309
507,ENSMUSG00000003316
508,ENSMUSG00000003341
509,ENSMUSG00000003344
510,ENSMUSG00000003345
511,ENSMUSG00000003346
512,ENSMUSG00000003348
513,ENSMUSG00000003352
514,ENSMUSG00000003354
515,ENSMUSG00000003355
516,ENSMUSG00000003360
517,ENSMUSG00000003363
518,ENSMUSG00000003378
519,ENSMUSG00000003379
520,ENSMUSG00000003380
